Firma,Website,Phone,Linkedin Link,Kurzurteil,Firmenbeschreibung,Negativpunkt,Manuav-Score,Reasoning
Kuramono,www.kuramono.com/,,,"Mit Vorsicht — mittlere Priorität. Kuramono könnte interessant sein, vor allem wenn ihr euch auf AI-/SaaS-Anbieter mit erklärungsbedürftigen Produkten fokussiert; das Potenzial ist vorhanden, aber der Fit ist nicht eindeutig stark genug für ein Top-Lead ohne weiteren Checkup.","Kuramono positioniert sich als „AI Marketing Copilot for Small Businesses“ — also eine Softwarelösung, die Unternehmen helfen soll, aus groben Ideen ganze Social-Media-Kampagnen zu generieren, ohne intern ein komplettes Marketingteam zu benötigen. 
kuramono.com
+1

Laut Handelsregister ist Kuramono eine in Berlin eingetragene GmbH (HRB 277700 B, Sitz: Koenigsallee 16i, 14193 Berlin). 
Creditreform
+1

Die Firma führt laut Unternehmenszweck Softwareentwicklung, Vermarktung und Vertrieb von Softwarelösungen durch.","Derzeit ist wenig öffentlich sichtbar — wenig Hinweise auf Referenzen, Kundenbasis oder konkrete Marktvalidierung; das macht Einschätzungen zu Marktpotenzial und Umsatzstruktur unsicher.",6,"✅ Positive Aspekte

B2B-Fokus vorhanden — Kuramono adressiert andere Unternehmen (klein bis mittel) mit ihrem AI-Marketing-Tool, nicht Endkunden. Das passt grundsätzlich zu Manuavs Zielkategorie „B2B-Software / SaaS“.

Erklärungsbedürftiges Produkt mit Mehrwert — AI-gestützte Kampagnen-Erstellung kann für viele kleine und mittlere Unternehmen interessant sein, insbesondere für solche ohne eigene Marketingabteilung — eine gute Ausgangslage für Outsourcing-Sales, da Nutzen klar und vergleichsweise einfach zu kommunizieren ist.

Geringe Unternehmensgröße & vermutlich begrenzte interne Ressourcen — Laut öffentlichen Firmenprofilen ist Kuramono derzeit „micro-sized“ (kleines Unternehmen). 
Implisense
+1
 Das spricht dafür, dass externes Sales-/Lead-Gen-Outsourcing für sie einen echten Hebel darstellen könnte.

⚠️ Risiken und Unsicherheiten

Mangel an öffentlich sichtbarer Markterfolg-/Kunden-Referenz — Es gibt kaum erkennbare Kunden, Case Studies oder Bewertungen; das erschwert die Einschätzung von Marktreife und Zahlungsbereitschaft potenzieller Kunden.

Unbekannte Finanz- und Wachstumsdaten — Es gibt weder verlässliche Angaben zu Umsatz, Kundenanzahl noch wirtschaftlicher Stabilität; deshalb schwer abzuschätzen, ob Deals mit genügend Volumen kommen, um Outsourcing kosten-/nutzenhaft zu rechtfertigen.

Potenzielle Konkurrenz & Preis-/Funktionsdruck — Der Markt für Marketing-Automatisierung und AI-gestützte Marketingtools ist hart umkämpft; Differenzierung und nachhaltige Positionierung könnten herausfordernd sein.

Unsichere Zielgruppengröße und Bedarf — Der Nutzen des Produkts liegt bei kleineren Unternehmen ohne Marketing-Ressourcen; diese Firmen sind oft preissensibel und haben geringe Budgets — Risiko für niedrige Margen, hohes Churn-Potenzial oder geringe Zahlungsbereitschaft."
FittiCoin,www.fitticoin.com/,,https://www.linkedin.com/company/fitticoin/,"Eher „niedrige bis mittlere Priorität“ — FittiCoin hat Elemente, die grundsätzlich interessant sind, aber aus Sicht von Manuav ist der Fit schwach bis moderat.","FittiCoin ist ein Startup mit Hauptsitz in Amman, Jordanien, gegründet 2018. 
PitchBook
+1

Ihr Geschäftsmodell: Eine Fitness-App, die körperliche Aktivität (z. B. Schritte) trackt und in eine interne „Kryptowährung“ (FittiCoins) umwandelt. Nutzer können diese Coins gegen Produkte oder Angebote einlösen. 
Google Play
+2
CB Insights
+2

Die App existiert und ist in den App Stores gelistet — mit mehreren hunderttausend Downloads. 
Google Play
+1

Finanzierung: Laut Datenbank hatte FittiCoin eine frühe Funding-Runde (Seed / Early Stage), mit Investoren wie z. B. Arzan Venture Capital.","FittiCoin ist stark B2C-orientiert — Nutzer sind Privatpersonen. Für Manuav, das auf B2B-Lead-Generation und Outsourcing-Sales für Unternehmen abzielt, fehlt damit eine stabile, skalierbare Firmenkundenbasis.",4,"B2B-Fokus: ❌ Fehlend — FittiCoin verkauft Fitness-Services an Endnutzer, nicht an Unternehmen oder Organisationen mit strukturierten Kauf-/Vertragsprozessen.

Zielgruppengröße (für Manuav-Relevanz): Gering — Der Markt sind Konsumenten (Fitness-App-User), nicht Unternehmen mit Budgets für Outsourcing-Sales.

Innovationsgrad: Mittel — Die Idee, Fitness + Gamification + Rewards / Kryptowährung zu verbinden, ist modern und könnte Nachfrage erzeugen.

Red-Ocean-Faktor: Hoch — Der Markt für Fitness-Apps, Reward-/Incentive-Apps und Health-Lifestyle-Apps ist stark umkämpft; viele Mitbewerber und hohe Nutzer-Fluktuation.

Economic Logic / Dealgröße: Schwach — Monetarisierung basiert vermutlich auf Nutzeraktivität, Werbung oder kleinen Transaktionen — kaum stabile, wiederkehrende Einnahmen, wie sie für Outsourcing-Sales sinnvoll sind.

Onboarding-/Outsourcing-Potential: Eher gering — Als B2C-App mit vermutlich limitiertem Budget ist FittiCoin wahrscheinlich nicht bereit (oder nicht gut geeignet) dafür, externes B2B-Sales-Outsourcing zu beauftragen.

Telefon-/Outreach-Potential: Sehr begrenzt — Es gibt keine Firmenkundenstruktur, klassische Entscheider oder institutionelle Käufer, die man über standardisierte B2B-Cold-Outreach-Methoden adressieren könnte.

Risiken: Marktvolatilität im Bereich Fitness/Lifestyle-Apps, starke Abhängigkeit von Nutzerengagement und Trends, hohe Abwanderungsrate, unsichere Monetarisierung — alles Faktoren, die die Stabilität und Planbarkeit untergraben."
Plasticfreeworld,plasticfreeworld.com,,https://www.linkedin.com/company/plasticfreeworld-gmbh-i-g/?viewAsMember=true,"Eher „nicht priorisieren / Low-Priority“. Plasticfreeworld hat zwar B2B-Elemente, aber der Fit mit Manuav-Outsourcing-Modell ist aus meiner Sicht begrenzt.","Plasticfreeworld bezeichnet sich als Anbieter für plastikfreie und plastikreduzierte Produkte und Lösungen — das Unternehmen betreibt laut Handelsregister Groß- und Einzelhandel mit plastikfreien bzw. plastikreduzierten Artikeln wie Mode, Hygiene-/Kosmetikprodukte, Möbel, Haushalts- und Lifestyle-Produkte. 
Creditreform
+2
Implisense
+2

Zusätzlich zielt das Unternehmen auf den Ausbau einer B2B-Plattform bzw. eines Branchenverzeichnisses und einer Online-Marktplatz/Directory für Hersteller und Anbieter plastikfreier Lösungen. 
Creditreform
+2
Startupnight
+2

Gegründet wurde Plasticfreeworld 2019; der Sitz wird in Berlin angegeben.","Das Unternehmen ist extrem klein (laut öffentlichen Profilen nur wenige Mitarbeitende) und scheint vor allem als Einzelhandel bzw. Endkunden-/Konsumenten-Marktplatz ausgerichtet zu sein — das reduziert die Wahrscheinlichkeit, dass sie aktiv Sales-Outsourcing nach außen vergeben wollen.",3,"B2B-Fokus: 🔸 Teilweise vorhanden — Einerseits betreiben sie eine Plattform für Anbieter plastikfreier Produkte und sagen selbst, dass sie eine B2B-Komponente (Directory/Marktplatz & Lieferantenverzeichnis) aufbauen. 
Creditreform
+1
 Allerdings ist der überwiegende Teil des Geschäfts offenbar Retail/E-Commerce für Konsumenten — das entspricht nicht dem klassischen Manuav-Kundenprofil.

Zielgruppengröße & Marktpotenzial: Eher begrenzt — Der Markt für plastikfreie Produkte ist zwar wachsend, aber als Nische relativ klein und stark fragmentiert; viele Anbieter konkurrieren, und Nachfrage hängt stark von Verbraucher-Trends und Nachhaltigkeitsbewusstsein ab.

Innovationsgrad / Differenzierung: Mittel — Das Angebot (plastikfreie Produkte, nachhaltige Alternativen, Directory/Marketplace) adressiert einen echten gesellschaftlichen Trend (Zero Waste, Nachhaltigkeit). Aber es handelt sich nicht um ein erklärungsbedürftiges Software-/SaaS-Produkt mit klar messbarem Business-Mehrwert — weniger Hebel für Outsourcing-Sales im B2B-Sektor.

Red-Ocean-Faktor: Hoch — Der Markt für nachhaltige Konsumgüter und plastikfreie Produkte ist stark umkämpft; viele Mitbewerber, hoher Konkurrenzdruck, und niedrige Margen sind wahrscheinlich.

Economic Logic / Dealgröße: Klein — Als Retail/Marketplace mit Konsumentenfokus sind die Umsätze auf Einzeltransaktionen ausgelegt; große, wiederkehrende B2B-Deals sind unwahrscheinlich.

Onboarding-/Outsourcing-Potential: Gering — Als kleines Unternehmen mit Konsumgüter-E-Commerce ist der Bedarf an klassischem B2B-Cold-Outreach und Lead-Gen Outsourcing vermutlich niedrig; Marketing und Verkauf laufen eher über Endkunden-Kanäle (Online-Shop) statt B2B-Sales.

Telefonpitch-/Outreach-Potenzial: Sehr beschränkt — Zielpersonen sind nicht klassische Entscheider mit Budgets für Großkunden-Deals, sondern vermutlich Einzelkäufer oder kleine Händler; strukturierte Sales-Outreach dürfte kaum funktionieren.

Risiken: Schwankende Nachfrage, starke Abhängigkeit von Nachhaltigkeitstrends, niedrige Margen, hoher Wettbewerb, wenig Stabilität — große Unsicherheit hinsichtlich Stabilität und Wachstum, was Outsourcing-Kosten schwer rechtfertigbar macht."
LABELS,labels.cc,,https://www.linkedin.com/company/labelscc/,Nein — Labels (labels.cc) ist aktuell kein geeigneter Lead für Manuav.,"Laut einem Firmeneintrag ist Labels ein in Berlin gegründetes Unternehmen (2021) und bezeichnet sich als „Online-Product Aggregator“.

Es handelt sich um ein „unfunded“ Startup — also anscheinend ohne externe Finanzierung bislang.

Public-Profilen zufolge rangiert Labels hinsichtlich Wettbewerbern auf Platz 3 bei 3 aktiven Wettbewerbern in dem Segment.","Ein seriöser Bewertungsdienst stuft die Webseite labels.cc aktuell als „suspicious“ ein — mit einem Safety Score von 50/100. Das deutet auf potenzielle Risiken in Bezug auf Vertrauenswürdigkeit, Verlässlichkeit oder Professionalität hin.",2,"B2B-Fokus: ✅ Formal möglich — Labels gibt sich als Business-Startup, aber nicht klar als klassischer B2B-SaaS- oder Service-Anbieter. Ihre Ausrichtung („Online product aggregator“) spricht eher Konsumenten oder E-Commerce-Markt an, nicht notwendigerweise Firmen mit klaren Entscheidungsstrukturen.

Zielgruppengröße & Marktpotenzial: Unsicher — Der Markt für Produkt-Aggregation und Online-Marktplätze ist groß, aber stark umkämpft und abhängig von Traffic & Vertrauen. Für Manuav relevant wären stabile, planbare B2B-Deals — dafür ist bei Labels kein überzeugender Hinweis zu finden.

Seriositäts- & Reputationsrisiko: Hoch — Der „suspicious“ Safety Score, fehlende Finanzierung und geringe öffentliche Transparenz sind große Warnzeichen, die jeden Outreach riskant machen.

Wirtschaftliche Stabilität & Finanzierung: Fragwürdig — Ohne externe Finanzierung („unfunded“) und mit wenig öffentlichem Track Record besteht erhebliche Unsicherheit, ob das Unternehmen überleben kann oder langfristig relevant bleibt.

Onboarding-/Outsourcing-Nutzen & Bedarf: Offen — Falls Labels überhaupt vertrauenswürdig ist, könnte externes Business-Development helfen — aber das Risiko und die geringe Wahrscheinlichkeit eines nachhaltigen Ertrags reduzieren den Nutzen stark.

Telefonpitch-/Outreach-Potenzial: Sehr gering — Schwache öffentliche Informationen, unsichere Reputation und potenziell fragwürdige Geschäftsstruktur machen Cold-Calls für Manuav zu einem sehr riskanten Unterfangen."
Greenfield Capital Labs GmbH,www.greenfieldlabs.de,,,"Mit Vorsicht — mittlere Priorität. Greenfield Labs könnte grundsätzlich passen (B2B-Software/AI-Dienstleistungen), aber hohe Unsicherheit bezüglich Seriosität, Finanzierung und Stabilität schränkt die Priorität ein.","Greenfield Labs bietet Enterprise-Softwareentwicklung, AI-/Automation-Lösungen, Custom Web-/Mobile-Apps, Cloud-Infrastrukturen und Software-Engineering an. Laut ihrer Website: Entwicklung von Full-Stack-Applikationen, Integration von KI-/LLM-basierten Workflows, Legacy-System-Modernisierung und grösseren Digital-/Transformationsprojekten. 
greenfieldlabsai.com
+2
greenfieldlabsai.com
+2

Laut einem öffentlichen Unternehmensprofil (Clutch) firmiert Greenfield Labs als Anbieter von maßgeschneiderten SaaS-, AI- und Software-Lösungen für Industrie, Healthcare, FinTech und professionelle Dienstleistungen. Mitarbeiteranzahl wird mit 10–49 angegeben. 
Clutch

Das Unternehmen gibt sich als Agentur bzw. Dienstleister, der für andere Unternehmen Projekte realisiert — also klar B2B (nicht Consumer-App).","Laut einem Startup-Verzeichnis ist Greenfield Labs als „unfunded company“ gelistet — also offenbar ohne externe Finanzierungsrunden bisher. 
Tracxn
+1

Es existieren viele Wettbewerber im Markt („aktive Wettbewerber: 76“ laut gleicher Quelle) — Konkurrenzdruck hoch, Differenzierung unklar. 
Tracxn
+1

Öffentlich verfügbare Fallstudien, Kundenreferenzen oder langfristige Track-Record sind nicht auffindbar — das erschwert die Einschätzung von Marktvalidierung, Umsatz und Stabilität.","5,5","B2B-Fokus: ✅ Klar vorhanden — Greenfield Labs richtet sich an Unternehmen, nicht an Endkunden, was grundsätzlich zum Manuav-Profil passt.

Zielgruppengröße & Marktpotenzial: Mittel — Es gibt genügend Unternehmen (KMU bis Mittelstand oder größere Firmen), die Bedarf für Software-/AI-Lösungen haben könnten; der Markt ist breit, aber stark umkämpft.

Produkt/Leistung & Nutzen: Potenziell hoch — Custom-Software, Digitalisierung und AI-Integration sind Dienste mit klarem Mehrwert, gerade für Unternehmen, die intern wenig Tech-Ressourcen haben; das macht sie erklärungsbedürftig und sinnvoll für Outsourcing-Sales.

Red-Ocean-Faktor: Hoch — Der Markt für Custom Software & AI-Dienstleistungen ist stark fragmentiert und kompetitiv; Differenzierung und Spezialisierung entscheidend.

Economic Logic / Deal-Potenzial: Unsicher — Ohne Public-Track-Record kann schwer eingeschätzt werden, wie hoch Dealgrößen oder wiederkehrende Einnahmen bei Greenfield sind — Risiko, dass Aufträge klein, sporadisch oder unregelmäßig bleiben.

Onboarding-/Outsourcing-Nutzen durch Manuav: Möglich — Gerade ein Anbieter mit vermutlich begrenztem Marketing-/Vertriebsressourcen könnte von externem Sales-Outsourcing profitieren.

Risiken: Finanzierung unklar, viele Wettbewerber, mangelnde Transparenz über Erfolge/Kunden, mögliches Überlebensrisiko bei Markt- und Preisdruck; hoher Aufwand bei Zielgruppenanalyse und Lead-Qualifizierung für Manuav."
Lost Club Toys (Studio 2033),lostclubtoys.com,,https://www.linkedin.com/company/lost-club-toys,Eher ablehnen / sehr niedrige Priorität — Lost Club Toys passt nur sehr begrenzt zu Manuavs klassischem B2B-Outsourcing-Modell.,"Lost Club Toys positioniert sich als Web3-/Community-Projekt im Bereich elektronische Musik und Clubkultur: Sie wollen Fans, Clubs und DJs miteinander verbinden — offline wie online. 
lostclubtoys.com
+2
GlobeNewswire
+2

Der Ansatz umfasst eine Community-App, digitale Sammlerstücke / NFTs (sog. 3D-“Toys”), Club-/Event-Zugänge, Fan-Engagement und Kollaborationen mit Clubs und Künstlern. 
lostclubtoys.com
+2
nes.tech
+2

Laut öffentlich zugänglichen Daten: Gegründet 2022, mit Seed-Finanzierung bzw. Accelerator-Backing.","Das Geschäftsmodell von Lost Club Toys ist stark B2C / Endkund:innen-/Community-orientiert, nicht klassisch B2B — das kollidiert mit Manuavs Schwerpunkt auf strukturierte B2B-Vertriebs- und Lead-Gen-Prozesse.",3,"B2B-Fokus: ❌ Schwach — Lost Club Toys richtet sich primär an Fans, Clubs und Einzelpersonen, nicht an Unternehmen mit stabilen Einkaufs- oder Vertragsstrukturen.

Zielgruppengröße / Marktstruktur: Mittel bis unsicher — Die Zielgruppe sind Musikfans, Clubgänger und Kreative — schwer planbar und oftmals sehr volatil; keine klassischen Firmenkunden mit Budget und Planbarkeit.

Innovationsgrad / Differenzierung: Mittel — Der Mix aus Clubkultur + Community-App + Web3/NFT ist modern und kreativ, jedoch stark spekulativ und stark abhängig von Trends und Hype.

Red-Ocean-Faktor: Hoch — Der Entertainment-, Musik- und Web3-Space ist extrem umkämpft, mit vielen Wettbewerbern, hohem Trenddruck und hoher Volatilität.

Economic Logic / Dealgröße: Sehr gering — Monetarisierung wahrscheinlich über NFT-Drops, Community-Events oder Events/Club-Zugänge — sehr schwer planbar, mit stark schwankendem Cashflow; keine stabilen wiederkehrenden Firmenverträge.

Onboarding-/Outsourcing-Potential: Gering — Als Community-/Entertainment-Projekt mit speziellem Nischenfokus und begrenztem Business-Struktur ist der Bedarf bzw. Nutzen für externes Sales-/Lead-Gen-Outsourcing durch Manuav gering.

Telefonpitch-/Outreach-Potential: Minimal — Zielpersonen sind nicht klassische Entscheider in Firmen, sondern eher Community-Manager, Künstler oder Einzelpersonen — nicht geeignet für skalierbare B2B-Cold-Calls oder Lead-Gen-Strukturen.

Risiken: Hohe Abhängigkeit von Hype, Trends und marktvolatilen Faktoren (Clubkultur, Web3-Markt, NFTs), mögliche rechtliche/regulatorische Unsicherheiten rund um NFTs/Web3, instabile Einnahmequellen, mangelnde Planbarkeit."
GraduGreat GmbH,www.talentee.ai,,https://www.linkedin.com/company/talentbayapp/?viewAsMember=true,"Eher ablehnen / maximal niedrige Priorität. Talentee weist aktuell zu viele kritische Signale auf; der Fit für ein seriöses, skalierbares B2B-Outsourcing-Engagement ist zu fraglich.","Talentee bietet eine Plattform mit einem KI-gestützten Interview-Coach namens „Nova“ an: Nutzer sollen sich auf verschiedene Bewerbungsszenarien vorbereiten können — Screening, HR-Interviews, Case Studies etc. 
startup-atlas.de
+1

Die Firma wird in öffentlichen Startup-Verzeichnissen als 2020 gegründet geführt, mit Sitz in München. 
Tracxn
+1

Angeblich richtet sich Talentee an Absolvent:innen und junge Fachkräfte — also primär ein Matchmaking zwischen Bewerbern und Unternehmen bzw. Vorbereitung auf Job-Interviews.","Laut einer aktuellen Branchen-Datenbank ist Talentee als „deadpooled company“ gelistet — also offenbar nicht mehr aktiv oder mit deutlich eingeschränkter Geschäftstätigkeit. 
Tracxn
 Das allein ist ein starkes Signal gegen Stabilität und gegen eine lohnende Zusammenarbeit.",2,"B2B-Fokus: ❌ Schwach — Talentee adressiert primär Endnutzer (Bewerber:innen), nicht Unternehmen mit klassischen Entscheiderstrukturen und stabilen Budgets. Damit fehlt die typische Zielkundengruppe, mit der Manuav normalerweise arbeitet.

Zielgruppengröße & Marktpotenzial: Gering bis unsicher — Der Markt scheint stark umkämpft (Recruiting-/Job-Prep-Plattformen, Jobbörsen, Alternativen) und laut Angaben ist Talentee in einem sehr großen Wettbewerbsumfeld (hunderten Wettbewerbern). 
Tracxn
+1

Finanzierung & Stabilität: Problematisch — Als „deadpooled“ geführt, ohne erkennbare Finanzierungsrunden oder stabile Geschäftstätigkeit. Das macht eine Partnerschaft riskant und wenig attraktiv.

Economic Logic / Dealgröße: Niedrig bis unklar — Selbst wenn Talentee aktiv wäre, wäre der typische Kunde eher ein Einzelbewerber oder Student, nicht ein Unternehmen mit wiederkehrendem Bedarf — kaum Raum für große, wiederkehrende B2B-Umsätze.

Outsourcing-Bedarf: Sehr gering — Bei einem Produkt, das eher auf Einzelpersonen abzielt, ist die Bereitschaft oder Notwendigkeit für externes B2B-Lead-Gen minimal.

Risiken: Hohe Wahrscheinlichkeit, dass Geschäft eingestellt oder extrem eingeschränkt — damit kein Return für Manuav; Markt sehr fragmentiert und volatil; schwer planbare Nachfrage."
F&B Technologies GmbH,themoc.io/,,https://www.linkedin.com/company/f-b-technologies-gmbh,Nein — Themoc (themoc.io) sollte aus Manuav-Perspektive derzeit nicht als Lead betrachtet werden.,,"Themoc zeigt klassische Warnsignale: keine öffentliche Firmen- oder Geschäftstransparenz, fehlende Webpräsenz mit klarer Value-Proposition, unklare Domain- bzw. Firmenstruktur — das spricht stark gegen Verlässlichkeit und Professionalität.","1,5","B2B-Fokus: ❌ Nicht erkennbar — Es gibt keine Hinweise, dass Themoc eine B2B-Software, ein SaaS-Produkt oder eine Dienstleistung für Firmen anbietet. Stattdessen wirkt das Angebot unspezifiziert oder nicht existent.

Transparenz & Verlässlichkeit: Sehr gering — Keine Impressums- oder Firmenangaben, keine öffentlichen Referenzen oder valide Informationen in Startup-Verzeichnissen.

Zielgruppengröße & Marktpotenzial: Unklar bis Null — Ohne erkennbares Angebot lässt sich kein Markt abschätzen.

Economic Logic / Deal-Potenzial: Nicht vorhanden — Es gibt nichts Greifbares, das sich verkaufen ließe – kein Produkt, keine Dienstleistung, keine Marktposition.

Onboarding-/Outreach-Nutzen: Nicht gegeben — Ein Outreach bzw. Kaltakquise hätte vermutlich keinerlei Erfolg, da kein Bedarf und keine erkennbare Struktur vorliegt.

Risiko: Extrem hoch — Hohe Wahrscheinlichkeit, dass es sich um eine inaktive, nicht-seriöse oder unseriöse Seite handelt; Zeit und Ressourcen für Kontaktaufnahme wären nahezu garantiert verschwendet."
SculptBuddy,sculptbuddy.com,,https://www.linkedin.com/company/sculptbuddy/?viewAsMember=true,"Eher „eher aussortieren“ — kein starker Fit. SculptBuddy wirkt unsicher und kaum geeignet für ein seriöses, langfristiges B2B-Outsourcing-Engagement durch Manuav.","Laut dem Firmenprofil bietet SculptBuddy eine „digitale Plattform“ und bezeichnet sich selbst als Marktplatz und Streaming-Dienst. 
CB Insights
+1

Offizielle Register- und Firmeninformationen listen SculptBuddy mit Sitz in Frankfurt am Main. 
implisense.com
+1

Die Firma hat offenbar nur sehr wenige Mitarbeitende (1–10), laut einer Organisationsübersicht sind lediglich zwei Co-Founders sichtbar.","Der öffentliche Eindruck ist sehr diffus und unklar: Die Website liefert kaum brauchbare Informationen über Geschäftsmodell, Kunden, Leistungen oder klare Value-Proposition — das erschwert Einschätzung, Seriosität und Planbarkeit stark.",2,"B2B-Fokus: ❌ Nicht erkennbar — SculptBuddy scheint keinen klassischen B2B-SaaS-Dienst anzubieten, der auf Firmenkunden abzielt; die Marktposition und Zielgruppe sind unklar.

Zielgruppengröße & Marktpotenzial: Ungewiss — Ohne erkennbare Kunden, Use-Case oder klaren Markt ist das Potenzial schwer einzuschätzen; kaum Aussicht auf stabile, große Deals.

Finanzierung / Stabilität: Fragwürdig — Keine Hinweise auf externe Funding-Runden, geringe Größe und mögliche Umfirmierung (siehe Firmenprofiländerungen) stellen Stabilitätsrisiken dar. 
implisense.com
+1

Economic Logic / Dealgröße: Sehr gering — Selbst wenn SculptBuddy operativ ist, scheint kein Modell für wiederkehrende, planbare Einnahmen mit Unternehmen zu existieren — damit kaum Aussicht auf lukratives Outsourcing-Mandat.

Outsourcing-/Sales-Outreach-Potential: Gering bis null — Bei unklarer Struktur und schwachem öffentlichen Auftreten besteht kaum Aussicht, dass ein Cold-Outreach Früchte trägt — weder aus Perspektive von Manuav (Zeitaufwand vs. Ertrag) noch aus Sicht von SculptBuddy (Budget & Bedarf).

Risiko: Hoch — Mangelnde Transparenz, geringe Teamgröße, unklare Marktstellung und mögliche Finanziell-/Strukturprobleme — sehr riskant für externes Sales-Engagement."
CoolBeez,coolbeez.com/,,https://www.linkedin.com/company/coolbeez/,"Eher „mittlere Priorität“ — potenziell geeignet, aber Vorsicht geboten. CoolBeez bietet ein durchaus interessantes B2B-/SaaS-Modell, das zu Manuav passen könnte — allerdings mit unsicherer Stabilitätslage und überschaubarem Unternehmensumfang.","CoolBeez ist eine SaaS-/Referral-Marketing-Plattform mit Sitz in Berlin: Sie versprechen Online-Shops, durch automatisierte Empfehlungs-/Referral-Mechanismen („Word-of-Mouth / Friend-to-Friend Recommendations“) neue Kunden zu gewinnen. Dabei werden bestehende Kunden animiert, Produkte an Freunde weiterzuempfehlen – im Austausch gegen Rabatte oder eine Provision. 
startbase.de
+2
leapfunder.com
+2

Geschäftszweck gemäss Handelsregister: Betrieb und Verwaltung eines E-Commerce Software-as-a-Service-Portals und optional Marktplatzfunktionen für Dritte. 
Creditreform FirmenEintrag
+1

Gründung 2016 (bzw. 2017 laut manchen Quellen), mit angeblich 1–10 Mitarbeitenden (also sehr kleines Team).","Laut einem seriösen Startup-Verzeichnis ist CoolBeez als „Deadpooled“ gelistet — also offenbar inaktiv oder zumindest mit signifikanter wirtschaftlicher Schwäche. 
Tracxn
+1
 Das wirft große Fragen zur Stabilität, Finanzierung und Zukunftsfähigkeit auf.",5,"B2B-Fokus: ✅ Ja — CoolBeez richtet sich mit seiner SaaS-Lösung klar an Online-Shops und E-Commerce-Händler, also Geschäftskunden mit Budget und kommerziellem Interesse.

Zielgruppengröße & Marktpotenzial: Mittel — Der Markt für Online-Shops, E-Commerce und Empfehlungsmarketing ist groß und adressierbar; potenziell viele Shops könnten von Referral/Word-of-Mouth profitieren.

Produkt & Nutzen: Innovatives Konzept: Automatisierte Empfehlungssysteme und Social-Referral als Sales-Kanäle — für Shops, die Neukunden akquirieren wollen, kann das einen echten Mehrwert bringen.

Economic Logic / Dealgröße: Potenziell attraktiv — Für E-Commerce-Shops mit vielen Kunden kann Referral-Marketing hohe Customer-Acquisition-Effizienz bringen; Upsell-/Wiederholungs-Chancen vorhanden.

Onboarding-/Outsourcing-Bedarf: Möglich — Als kleines Startup mit vermutlich limitierter Vertriebskraft könnten externe Sales-/Lead-Gen-Services durch Manuav helfen, Reichweite und Kundenbasis aufzubauen.

Risiken / Schwächen:

Der „Deadpooled“-Status deutet auf finanzielle und operative Schwierigkeiten hin — hohes Risiko, dass das Produkt nicht mehr aktiv weiterentwickelt oder vertrieben wird.

Das kleine Team könnte Ressourcen- und Kapazitätsengpässe haben — Kundenbetreuung, Weiterentwicklung und Wachstum könnten schwer skalieren.

Referral/Affiliate-/E-Commerce-Markt: stark kompetitiv, hoher Konkurrenzdruck, viele Mitbewerber — Differenzierung und stabile Kundenbindung sind herausfordernd.

Unsicherheit über aktuelle Marktposition, Zahl der aktiven Kunden, Umsatz und Geschäftsentwicklung — schwer abzuschätzen, wie lukrativ ein Outsourcing-Mandat wäre."
